date,subjectivity,polarity
2020-03-23,0.3848559841851058,0.0885221326620114
2020-03-24,0.36492719384774475,0.09299226479906786
2020-03-25,0.3591291929440708,0.08287784155697063
2020-03-26,0.3555544448389264,0.07932088694543264
2020-03-27,0.36337076672879476,0.0839879549290838
2020-03-28,0.37787299667474883,0.06316419921470705
2020-03-29,0.37000329437148266,0.08465717877814295
2020-03-30,0.36608587620207117,0.08593353288254854
2020-03-31,0.3631313774791019,0.0721854267545333
2020-04-01,0.36980783435593484,0.08291229721133032
2020-04-02,0.3606629742946116,0.08738935939152176
2020-04-03,0.36941652592406987,0.09096584896461937
2020-04-04,0.36086269943001165,0.09556560120584019
2020-04-05,0.3252654951818524,0.11929315970413099
2020-04-06,0.3552837346742776,0.08865115905864487
2020-04-07,0.3716975918021758,0.09969952282679781
2020-04-08,0.3470877289722378,0.17398733970071203
2020-04-09,0.3502232258641084,0.14109892105454006
2020-04-10,0.3628224739503099,0.0996113247625157
2020-04-11,0.3615210006389986,0.09760802176943463
2020-04-12,0.36687046551015134,0.10425864160733565
2020-04-13,0.3595473134577681,0.10310459392068505
2020-04-14,0.36467832935025657,0.08530836225672628
2020-04-15,0.37238080243065663,0.09659024805790647
2020-04-16,0.3620875475001581,0.09425609569307958
2020-04-17,0.3678958494375431,0.09817302445107068
2020-04-18,0.3758928452441551,0.1078784736947958
2020-04-19,0.36960397979114307,0.09226422021978828
2020-04-20,0.37312353250074975,0.09647264940154379
2020-04-21,0.36734282081593095,0.0862362231232808
2020-04-22,0.37715995675697433,0.10213610726851811
2020-04-23,0.3612191946893388,0.10223439294098323
2020-04-24,0.37949582869230597,0.10641355159988318
2020-04-25,0.3695451678270672,0.09484819531185923
2020-04-26,0.368052362785771,0.096728190356688
2020-04-27,0.3624911186214557,0.0978902973804792
2020-04-28,0.3619661208041856,0.09622042396478492
2020-04-29,0.36987443361824507,0.09179027756763432
2020-04-30,0.37325168305778395,0.0867115231236471
2020-05-01,0.3489975867516856,0.09745320965357479
2020-05-02,0.3685286207943639,0.10069473197956057
2020-05-03,0.3723397389775737,0.10989655263018976
2020-05-04,0.37544741226031675,0.07499525056518426
2020-05-05,0.3723361163467234,0.08637063135709695
2020-05-06,0.3857739592348192,0.09182217479822151
2020-05-07,0.37328624484935397,0.06773749019721986
2020-05-08,0.38149002900535856,0.07075777754229244
2020-05-09,0.3785268499954899,0.08670168812669794
2020-05-10,0.38562533649561925,0.104160061152817
2020-05-11,0.3739906650793424,0.0799125106668978
2020-05-12,0.3544868893046732,0.09614573778084647
2020-05-13,0.367493949559155,0.09059491574962038
2020-05-14,0.37852505399459296,0.09192553093711181
2020-05-15,0.38048320073838454,0.08767690597653817
2020-05-16,0.37369210392910074,0.0918722787508765
2020-05-17,0.3418426491059172,0.08122072773064122
2020-05-18,0.3726962546541761,0.08973508844230814
2020-05-19,0.36908567813762555,0.08539131595437853
2020-05-20,0.36491647600570315,0.08461746580414138
2020-05-21,0.38049807304056643,0.09403619839867822
2020-05-22,0.3908849827742266,0.07664868365252848
2020-05-23,0.38258841745369765,0.09992122917973109
2020-05-24,0.38937614445621527,0.10067234271242523
2020-05-25,0.3836411904929877,0.09296600198989573
2020-05-26,0.3771082103742232,0.07309807409147022
2020-05-27,0.3752954657876793,0.07856873304507622
2020-05-28,0.37214383425142883,0.08805658718215921
2020-05-29,0.3720635322783133,0.08418715461068747
2020-05-30,0.35927187280969786,0.08777099618628516
2020-05-31,0.37460768266638056,0.0877307951905474
2020-06-01,0.3837091548131829,0.07498754207800426
2020-06-02,0.3755691517272423,0.08695067954215491
2020-06-03,0.38284199362950727,0.07613474667499262
2020-06-04,0.383971649269454,0.0799659470436825
2020-06-05,0.38330235146764163,0.08274311309753309
2020-06-06,0.3805183993169635,0.06452247499567668
2020-06-07,0.37428977657583445,0.07500356622681416
2020-06-08,0.3894995174466547,0.0919959544652515
2020-06-09,0.3842185449074097,0.08509632941974693
2020-06-10,0.3964833206205114,0.07141965110229663
2020-06-11,0.37295488528472565,0.08359149597080068
2020-06-12,0.37465396518623106,0.07061989751193296
2020-06-13,0.3887439455279891,0.09109875608775658
2020-06-14,0.3684282178852895,0.0765248279286814
2020-06-15,0.39211098654153526,0.09265858948921782
2020-06-16,0.3778271893893548,0.08927244185843525
2020-06-17,0.37545446064547533,0.07424441037659454
2020-06-18,0.37300683712225163,0.084363371303571
2020-06-19,0.3547114729277961,0.0714988798135229
2020-06-20,0.36345826967439704,0.08453547706509436
2020-06-21,0.36274165875656594,0.08088627589687326
2020-06-22,0.36178387833639036,0.07422133558364295
2020-06-23,0.36803221723802954,0.07074420595455815
2020-06-24,0.3585549629907785,0.07212037870115966
2020-06-25,0.3649043692525953,0.07678907492014521
2020-06-26,0.358439001306918,0.06552310630080402
2020-06-27,0.36419411735256974,0.06900851077391566
