date,polarity,subjectivity
1.24072780808041E+018,0.357142857142857,
1.24072780800508E+018,0.116071428571429,
1.24072780834041E+018,-0.05,
1.24072780862981E+018,-0.714285714285714,
1.24072780861723E+018,0.7,
1.24072780872648E+018,0,
1.24072780870547E+018,0,
1.24072780849581E+018,0.216666666666667,
1.2407278088691E+018,-0.2,
1.24072780922544E+018,0,
1.24072780907457E+018,-0.65,
1.2407278093009E+018,0,
1.24072780947705E+018,0,
1.24072780958197E+018,-0.5,
1.24072780951504E+018,-0.352857142857143,
1.24072780955691E+018,0,
1.24072780967016E+018,-0.78,
1.24072781006028E+018,0,
1.24072781024904E+018,0,
1.24072781047547E+018,0.3,
1.24072781052584E+018,0,
1.24072781044195E+018,-0.0625,
1.24072781060555E+018,0.6,
1.24072781056774E+018,0,
1.24072781102497E+018,0.2,
1.24072781098294E+018,0,
1.2407278110124E+018,-0.714285714285714,
1.24072781125566E+018,0,
1.24072781137713E+018,0,
1.24072781125981E+018,0,
1.24072781130181E+018,0,
1.24072781153647E+018,0.5,
1.24072781162455E+018,-0.5,
1.24072781161218E+018,0,
1.24072781179672E+018,0.5,
1.24072781188475E+018,0,
1.24072781214906E+018,0.025,
1.24072781261044E+018,0,
1.2407278128872E+018,0,
1.24072781289145E+018,0.2,
1.24072781300867E+018,-0.566666666666667,
1.24072781308852E+018,0,
1.24072781371343E+018,0,
1.24072781354156E+018,0,
1.24072781385189E+018,-0.1625,
1.24072781364224E+018,-0.022222222222222,
1.24072781392323E+018,-0.35,
1.24072781457336E+018,-0.1,
1.24072781464041E+018,0,
1.24072781490881E+018,0.136363636363636,
1.2407278153115E+018,-0.125,
1.24072781525277E+018,-0.5,
1.24072781559252E+018,0,
1.24072781566801E+018,0,
1.24072781565963E+018,0,
1.24072781587758E+018,-0.1625,
1.24072781602439E+018,0,
1.2407278160162E+018,-0.041666666666667,
1.24072781616301E+018,0,
1.2407278161965E+018,0,
1.24072781644821E+018,0,
1.24072781642299E+018,-0.05,
1.24072781639347E+018,0.5,
1.24072781642305E+018,0.5,
1.24072781661997E+018,0.136363636363636,
1.24072781651111E+018,0,
1.24072781693476E+018,0,
1.24072781692211E+018,0,
1.240727816897E+018,-0.352857142857143,
1.24072781745884E+018,0.0875,
1.24072781757231E+018,0,
1.24072781755545E+018,0.416666666666667,
1.24072781762675E+018,0,
1.24072781783652E+018,0,
1.24072781779034E+018,-0.357142857142857,
1.24072781776517E+018,-0.15,
1.24072781784911E+018,0,
1.2407278187551E+018,0.4,
1.24072781867533E+018,-0.5,
1.24072781882622E+018,-0.5,
1.24072781888075E+018,-0.7,
1.24072781911997E+018,0.357142857142857,
1.2407278190948E+018,0,
1.24072781930032E+018,-0.352857142857143,
1.24072781927098E+018,0.25,
1.2407278194723E+018,-0.133333333333333,
1.24072781978252E+018,0,
1.2407278198372E+018,0,
1.24072782012656E+018,-0.1625,
1.24072782015592E+018,0.5,
1.24072782033214E+018,0,
1.24072782049981E+018,-0.352857142857143,
1.24072782068436E+018,0.666666666666667,
1.24072782062995E+018,0,
1.24072782071377E+018,-0.0625,
1.24072782094025E+018,-0.166666666666667,
1.24072782102841E+018,0.35,
1.24072782149798E+018,0,
1.24072782141427E+018,-0.0625,
